timestamp,iso,validator1,validator2,validator3,validator4
1785787550,2026-08-03T20:05:50+00:00,549011456,708456448,479809536,484618240
1785787580,2026-08-03T20:06:20+00:00,555696128,713969664,502255616,494317568
1785787610,2026-08-03T20:06:50+00:00,549879808,713908224,509349888,479875072
1785787640,2026-08-03T20:07:20+00:00,562307072,706109440,494612480,493916160
1785787670,2026-08-03T20:07:50+00:00,561676288,702504960,508325888,480030720
1785787700,2026-08-03T20:08:20+00:00,554463232,703684608,510124032,496992256
1785787730,2026-08-03T20:08:50+00:00,559325184,706670592,494096384,480350208
1785787760,2026-08-03T20:09:20+00:00,559456256,706490368,508076032,518623232
1785787790,2026-08-03T20:09:50+00:00,559456256,706883584,508469248,507457536
1785787820,2026-08-03T20:10:20+00:00,565354496,721260544,494587904,506646528
1785787850,2026-08-03T20:10:50+00:00,564060160,720429056,499453952,521080832
1785787880,2026-08-03T20:11:20+00:00,565370880,719437824,477646848,506363904
1785787910,2026-08-03T20:11:50+00:00,565370880,708784128,486109184,520781824
1785787940,2026-08-03T20:12:20+00:00,559386624,698556416,495169536,506429440
1785787970,2026-08-03T20:12:50+00:00,548143104,700985344,480419840,513245184
1785788000,2026-08-03T20:13:20+00:00,568127488,712867840,508362752,480825344
1785788030,2026-08-03T20:13:50+00:00,574066688,713244672,508526592,501002240
1785788060,2026-08-03T20:14:20+00:00,550088704,718114816,485404672,534253568
1785788090,2026-08-03T20:14:50+00:00,553635840,728014848,500092928,520167424
1785788120,2026-08-03T20:15:20+00:00,561131520,706068480,498352128,500461568
1785788150,2026-08-03T20:15:50+00:00,559108096,710889472,486936576,494141440
1785788180,2026-08-03T20:16:20+00:00,558465024,711491584,504320000,513015808
1785788210,2026-08-03T20:16:50+00:00,571461632,731906048,503455744,494927872
1785788240,2026-08-03T20:17:20+00:00,566493184,731189248,488902656,511373312
1785788270,2026-08-03T20:17:50+00:00,515321856,712896512,502272000,511385600
1785788300,2026-08-03T20:18:20+00:00,522260480,703705088,509071360,502566912
1785788330,2026-08-03T20:18:50+00:00,509833216,702156800,495312896,512675840
1785788360,2026-08-03T20:19:20+00:00,522452992,702672896,508190720,498520064
1785788390,2026-08-03T20:19:50+00:00,510455808,702803968,503296000,511758336
1785788420,2026-08-03T20:20:20+00:00,525266944,706101248,510644224,497508352
1785788450,2026-08-03T20:20:50+00:00,515891200,708374528,515461120,518955008
1785788480,2026-08-03T20:21:20+00:00,530046976,704417792,522985472,497520640
1785788510,2026-08-03T20:21:50+00:00,516751360,703643648,524034048,514031616
1785788540,2026-08-03T20:22:20+00:00,533135360,717074432,519282688,513675264
1785788570,2026-08-03T20:22:50+00:00,530997248,716312576,525377536,523022336
1785788600,2026-08-03T20:23:20+00:00,523759616,715005952,510038016,505761792
1785788630,2026-08-03T20:23:50+00:00,545517568,715399168,504324096,514543616
1785788660,2026-08-03T20:24:20+00:00,530145280,717934592,490180608,488366080
1785788690,2026-08-03T20:24:50+00:00,537595904,717139968,505552896,494555136
1785788720,2026-08-03T20:25:20+00:00,519868416,716521472,506114048,505233408
1785788750,2026-08-03T20:25:50+00:00,537300992,716181504,486670336,493383680
1785788780,2026-08-03T20:26:20+00:00,510836736,703393792,505131008,508194816
1785788810,2026-08-03T20:26:50+00:00,529448960,703508480,488562688,491245568
1785788840,2026-08-03T20:27:20+00:00,517742592,703737856,505073664,509960192
1785788870,2026-08-03T20:27:50+00:00,531607552,704024576,504860672,493305856
1785788900,2026-08-03T20:28:20+00:00,528125952,712155136,502382592,508043264
1785788930,2026-08-03T20:28:50+00:00,542191616,712548352,503054336,513679360
1785788960,2026-08-03T20:29:20+00:00,530272256,712601600,499175424,494276608
1785788990,2026-08-03T20:29:50+00:00,545968128,712429568,513830912,514433024
1785789020,2026-08-03T20:30:20+00:00,517373952,712298496,496775168,497836032
1785789050,2026-08-03T20:30:50+00:00,532082688,712249344,519131136,514744320
1785789080,2026-08-03T20:31:20+00:00,535396352,713289728,503885824,492752896
1785789110,2026-08-03T20:31:50+00:00,541724672,713117696,516403200,507052032
1785789140,2026-08-03T20:32:20+00:00,545853440,730513408,517251072,484962304
1785789170,2026-08-03T20:32:50+00:00,532754432,721481728,512016384,509079552
1785789200,2026-08-03T20:33:20+00:00,545796096,709926912,519086080,522063872
1785789230,2026-08-03T20:33:50+00:00,528715776,697593856,503316480,513028096
1785789260,2026-08-03T20:34:20+00:00,545226752,697724928,514813952,467247104
1785789290,2026-08-03T20:34:50+00:00,551358464,697331712,497819648,487825408
1785789320,2026-08-03T20:35:20+00:00,559054848,697225216,517484544,463847424
1785789350,2026-08-03T20:35:50+00:00,533856256,696295424,496332800,470417408
1785789380,2026-08-03T20:36:20+00:00,550502400,700223488,507088896,470544384
1785789410,2026-08-03T20:36:50+00:00,538042368,700993536,513294336,474083328
1785789440,2026-08-03T20:37:20+00:00,550817792,701927424,517632000,477356032
1785789470,2026-08-03T20:37:50+00:00,533266432,701440000,469131264,478740480
1785789500,2026-08-03T20:38:20+00:00,549593088,700760064,479182848,476311552
1785789530,2026-08-03T20:38:50+00:00,528257024,700841984,480227328,476168192
1785789560,2026-08-03T20:39:20+00:00,551104512,701186048,484093952,481931264
1785789590,2026-08-03T20:39:50+00:00,534233088,712835072,483848192,480923648
1785789620,2026-08-03T20:40:20+00:00,547696640,709414912,483663872,479948800
1785789650,2026-08-03T20:40:50+00:00,529645568,709275648,483004416,480563200
1785789680,2026-08-03T20:41:20+00:00,549720064,708886528,495697920,482439168
1785789710,2026-08-03T20:41:50+00:00,530309120,693227520,494751744,482934784
